record_type,month,date,employee_name,role,employment_status,store,schedule_status,schedule_code_source,schedule_code_normalized,shift_start,shift_end,metric,value,source_file,source_sheet,source_row,source_column,validation_status,notes
cash,2026-05,2026-05-01,,,,Калинина 2,,,,,,cash_actual,0.0,МИР ТРУД МАЙ.xlsx,Касса,2,5,OK,
cash,2026-05,2026-05-01,,,,Калинина 2,,,,,,cash_variance,-2000.0,МИР ТРУД МАЙ.xlsx,Касса,2,7,OK,
cash,2026-05,2026-05-01,,,,Космонавтов 20а,,,,,,cash_1c,100192.0,МИР ТРУД МАЙ.xlsx,Касса,2,3,OK,
cash,2026-05,2026-05-01,,,,Космонавтов 20а,,,,,,cash_actual,102964.0,МИР ТРУД МАЙ.xlsx,Касса,2,2,OK,
cash,2026-05,2026-05-01,,,,Космонавтов 20а,,,,,,cash_variance,772.0,МИР ТРУД МАЙ.xlsx,Касса,2,4,OK,
cash,2026-05,2026-05-02,,,,Калинина 2,,,,,,cash_1c,61333.0,МИР ТРУД МАЙ.xlsx,Касса,3,6,OK,
cash,2026-05,2026-05-02,,,,Калинина 2,,,,,,cash_actual,63157.0,МИР ТРУД МАЙ.xlsx,Касса,3,5,OK,
cash,2026-05,2026-05-02,,,,Калинина 2,,,,,,cash_variance,-176.0,МИР ТРУД МАЙ.xlsx,Касса,3,7,OK,
cash,2026-05,2026-05-02,,,,Космонавтов 20а,,,,,,cash_1c,0.0,МИР ТРУД МАЙ.xlsx,Касса,3,3,OK,
cash,2026-05,2026-05-02,,,,Космонавтов 20а,,,,,,cash_actual,0.0,МИР ТРУД МАЙ.xlsx,Касса,3,2,OK,
cash,2026-05,2026-05-02,,,,Космонавтов 20а,,,,,,cash_variance,-2000.0,МИР ТРУД МАЙ.xlsx,Касса,3,4,OK,
cash,2026-05,2026-05-03,,,,Калинина 2,,,,,,cash_1c,64203.0,МИР ТРУД МАЙ.xlsx,Касса,4,6,OK,
cash,2026-05,2026-05-03,,,,Калинина 2,,,,,,cash_actual,66031.0,МИР ТРУД МАЙ.xlsx,Касса,4,5,OK,
cash,2026-05,2026-05-03,,,,Калинина 2,,,,,,cash_variance,-172.0,МИР ТРУД МАЙ.xlsx,Касса,4,7,OK,
cash,2026-05,2026-05-03,,,,Космонавтов 20а,,,,,,cash_1c,108886.0,МИР ТРУД МАЙ.xlsx,Касса,4,3,OK,
cash,2026-05,2026-05-03,,,,Космонавтов 20а,,,,,,cash_actual,111759.0,МИР ТРУД МАЙ.xlsx,Касса,4,2,OK,
cash,2026-05,2026-05-03,,,,Космонавтов 20а,,,,,,cash_variance,873.0,МИР ТРУД МАЙ.xlsx,Касса,4,4,OK,
cash,2026-05,2026-05-04,,,,Калинина 2,,,,,,cash_1c,0.0,МИР ТРУД МАЙ.xlsx,Касса,5,6,OK,
cash,2026-05,2026-05-04,,,,Калинина 2,,,,,,cash_actual,0.0,МИР ТРУД МАЙ.xlsx,Касса,5,5,OK,
cash,2026-05,2026-05-04,,,,Калинина 2,,,,,,cash_variance,-2000.0,МИР ТРУД МАЙ.xlsx,Касса,5,7,OK,
cash,2026-05,2026-05-04,,,,Космонавтов 20а,,,,,,cash_1c,0.0,МИР ТРУД МАЙ.xlsx,Касса,5,3,OK,
cash,2026-05,2026-05-04,,,,Космонавтов 20а,,,,,,cash_actual,0.0,МИР ТРУД МАЙ.xlsx,Касса,5,2,OK,
cash,2026-05,2026-05-04,,,,Космонавтов 20а,,,,,,cash_variance,-2000.0,МИР ТРУД МАЙ.xlsx,Касса,5,4,OK,
cash,2026-05,2026-05-05,,,,Калинина 2,,,,,,cash_1c,0.0,МИР ТРУД МАЙ.xlsx,Касса,6,6,OK,
cash,2026-05,2026-05-05,,,,Калинина 2,,,,,,cash_actual,0.0,МИР ТРУД МАЙ.xlsx,Касса,6,5,OK,
cash,2026-05,2026-05-05,,,,Калинина 2,,,,,,cash_variance,-2000.0,МИР ТРУД МАЙ.xlsx,Касса,6,7,OK,
cash,2026-05,2026-05-05,,,,Космонавтов 20а,,,,,,cash_1c,0.0,МИР ТРУД МАЙ.xlsx,Касса,6,3,OK,
cash,2026-05,2026-05-05,,,,Космонавтов 20а,,,,,,cash_actual,0.0,МИР ТРУД МАЙ.xlsx,Касса,6,2,OK,
